id,name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,availability_365,number_of_reviews,reviews_per_month,last_review
34393230,Bohemian Bamboo Hideaway,Mt. Tabor,45.51301857472373,-122.60997115138689,Entire home/apt,155,1,187,159,2.08,2026-01-05
34394879,Portland Urban Lodge | Quiet | Walkable |  Near,Woodstock,45.48213,-122.60481,Entire home/apt,254,2,175,111,1.98,2026-06-09
34410296,"Laurelhurst Park Retreat, light-filled and fun.",Laurelhurst,45.52026,-122.63136,Entire home/apt,462,3,26,57,0.67,2026-04-04
34465871,Kenton Dreamin' - 31+ day booking,Kenton,45.58007,-122.68483,Entire home/apt,127,31,142,26,0.31,2026-02-19
34477057,"3 Master Suites - modern, clean, & comfortable!",Overlook,45.56124,-122.68321,Entire home/apt,404,2,219,111,1.29,2026-06-07
34512519,Tranquil garden apt,Southwest Hills,45.49539,-122.70741,Entire home/apt,177,1,128,105,1.22,2026-06-13
34535868,"Beautiful ""Music Studio"" on the End of the Street",Multnomah,45.4739875793457,-122.71049404144287,Entire home/apt,109,2,131,201,2.40,2026-05-16
34543263,Luxe Tiny Home in Hyper-Walkable SE Neighborhood,Reed,45.48842,-122.6278,Entire home/apt,69,30,319,45,0.53,2024-02-01
34546508,Best kept secret GEM studio apartment,Sunnyside,45.51473,-122.61322,Entire home/apt,92,4,218,168,2.11,2026-05-24
34569604,"Loft in Kenton- MAX line, Weed friendly",Kenton,45.58261,-122.68343,Entire home/apt,133,1,99,606,7.37,2026-05-19
34751941,Designer curated Mississippi home NO CLEAN FEE,Humboldt,45.55739,-122.67157,Entire home/apt,182,2,192,341,4.03,2026-06-02
34783771,Charming Laurelhurst Suite,Laurelhurst,45.522,-122.62158,Private room,132,2,346,158,1.84,2026-05-31
34793168,Rose City Park Retreat,Rose City Park,45.54052,-122.60561,Entire home/apt,183,1,223,142,1.67,2026-04-26
34821661,Modern Urban Home in a Walker's Paradise,Boise,45.55062,-122.66507,Entire home/apt,180,1,310,236,2.80,2026-06-13
34837777,"Henriette House - Cozy, Artsy, Walkable & AC!",Humboldt,45.55506,-122.66686,Entire home/apt,340,1,81,361,4.25,2026-06-14
34866219,Bright and Open Modern Northeast Montavilla ADU,Montavilla,45.5267,-122.58257,Entire home/apt,194,2,210,97,1.13,2026-06-14
34935743,Chic Spa Central - Inner Eastside Gem,Hosford-Abernethy,45.50232,-122.64606,Entire home/apt,255,1,200,418,4.94,2026-06-07
34936500,Modern Spacious 2BR • Minutes to Everywhere!,Kerns,45.5292,-122.64452,Entire home/apt,246,1,94,416,4.88,2026-06-09
