city,theme,count,osm_license
Sydney,drinking water,2479,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Sydney,public toilets,2501,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Sydney,benches,13573,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Melbourne,drinking water,355,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Melbourne,public toilets,142,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Melbourne,benches,1845,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Auckland,drinking water,428,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Auckland,public toilets,992,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
Auckland,benches,4916,"The data included in this document is from www.openstreetmap.org. The data is made available under ODbL."
