year,geo,purchase,unit,value,geo_label,purchase_label,unit_label
2016,EU27,DW_EXST,I25_A_AVG,65.45,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2017,EU27,DW_EXST,I25_A_AVG,68.74,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2018,EU27,DW_EXST,I25_A_AVG,72.21,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2019,EU27,DW_EXST,I25_A_AVG,75.74,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2020,EU27,DW_EXST,I25_A_AVG,80.07,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2021,EU27,DW_EXST,I25_A_AVG,87.14,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2022,EU27,DW_EXST,I25_A_AVG,93.79,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2023,EU27,DW_EXST,I25_A_AVG,92.34,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2024,EU27,DW_EXST,I25_A_AVG,94.63,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2025,EU27,DW_EXST,I25_A_AVG,100.0,European Union - 27 countries (from 2020),Purchases of existing dwellings,"Annual average index, 2025=100"
2005,NL,DW_EXST,I25_A_AVG,49.48,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2006,NL,DW_EXST,I25_A_AVG,51.74,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2007,NL,DW_EXST,I25_A_AVG,53.91,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2008,NL,DW_EXST,I25_A_AVG,55.54,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2009,NL,DW_EXST,I25_A_AVG,53.65,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2010,NL,DW_EXST,I25_A_AVG,52.43,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2011,NL,DW_EXST,I25_A_AVG,51.16,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2012,NL,DW_EXST,I25_A_AVG,47.86,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2013,NL,DW_EXST,I25_A_AVG,44.7,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2014,NL,DW_EXST,I25_A_AVG,45.12,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2015,NL,DW_EXST,I25_A_AVG,46.49,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2016,NL,DW_EXST,I25_A_AVG,49.05,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2017,NL,DW_EXST,I25_A_AVG,53.03,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2018,NL,DW_EXST,I25_A_AVG,57.92,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2019,NL,DW_EXST,I25_A_AVG,61.99,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2020,NL,DW_EXST,I25_A_AVG,66.88,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2021,NL,DW_EXST,I25_A_AVG,76.94,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2022,NL,DW_EXST,I25_A_AVG,87.18,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2023,NL,DW_EXST,I25_A_AVG,84.69,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2024,NL,DW_EXST,I25_A_AVG,92.1,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2025,NL,DW_EXST,I25_A_AVG,100.0,Netherlands,Purchases of existing dwellings,"Annual average index, 2025=100"
2011,EU27,DW_EXST,RCH_A_AVG,0.7,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2012,EU27,DW_EXST,RCH_A_AVG,-1.9,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2013,EU27,DW_EXST,RCH_A_AVG,-1.7,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2014,EU27,DW_EXST,RCH_A_AVG,0.7,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2015,EU27,DW_EXST,RCH_A_AVG,2.3,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2016,EU27,DW_EXST,RCH_A_AVG,4.5,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2017,EU27,DW_EXST,RCH_A_AVG,5.0,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2018,EU27,DW_EXST,RCH_A_AVG,5.0,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2019,EU27,DW_EXST,RCH_A_AVG,4.9,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2020,EU27,DW_EXST,RCH_A_AVG,5.7,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2021,EU27,DW_EXST,RCH_A_AVG,8.8,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2022,EU27,DW_EXST,RCH_A_AVG,7.6,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2023,EU27,DW_EXST,RCH_A_AVG,-1.5,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2024,EU27,DW_EXST,RCH_A_AVG,2.5,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2025,EU27,DW_EXST,RCH_A_AVG,5.7,European Union - 27 countries (from 2020),Purchases of existing dwellings,Annual average rate of change
2006,NL,DW_EXST,RCH_A_AVG,4.6,Netherlands,Purchases of existing dwellings,Annual average rate of change
2007,NL,DW_EXST,RCH_A_AVG,4.2,Netherlands,Purchases of existing dwellings,Annual average rate of change
2008,NL,DW_EXST,RCH_A_AVG,3.0,Netherlands,Purchases of existing dwellings,Annual average rate of change
2009,NL,DW_EXST,RCH_A_AVG,-3.4,Netherlands,Purchases of existing dwellings,Annual average rate of change
2010,NL,DW_EXST,RCH_A_AVG,-2.3,Netherlands,Purchases of existing dwellings,Annual average rate of change
2011,NL,DW_EXST,RCH_A_AVG,-2.4,Netherlands,Purchases of existing dwellings,Annual average rate of change
2012,NL,DW_EXST,RCH_A_AVG,-6.4,Netherlands,Purchases of existing dwellings,Annual average rate of change
2013,NL,DW_EXST,RCH_A_AVG,-6.6,Netherlands,Purchases of existing dwellings,Annual average rate of change
2014,NL,DW_EXST,RCH_A_AVG,0.9,Netherlands,Purchases of existing dwellings,Annual average rate of change
2015,NL,DW_EXST,RCH_A_AVG,3.0,Netherlands,Purchases of existing dwellings,Annual average rate of change
2016,NL,DW_EXST,RCH_A_AVG,5.5,Netherlands,Purchases of existing dwellings,Annual average rate of change
2017,NL,DW_EXST,RCH_A_AVG,8.1,Netherlands,Purchases of existing dwellings,Annual average rate of change
2018,NL,DW_EXST,RCH_A_AVG,9.2,Netherlands,Purchases of existing dwellings,Annual average rate of change
2019,NL,DW_EXST,RCH_A_AVG,7.0,Netherlands,Purchases of existing dwellings,Annual average rate of change
2020,NL,DW_EXST,RCH_A_AVG,7.9,Netherlands,Purchases of existing dwellings,Annual average rate of change
2021,NL,DW_EXST,RCH_A_AVG,15.1,Netherlands,Purchases of existing dwellings,Annual average rate of change
2022,NL,DW_EXST,RCH_A_AVG,13.3,Netherlands,Purchases of existing dwellings,Annual average rate of change
2023,NL,DW_EXST,RCH_A_AVG,-2.9,Netherlands,Purchases of existing dwellings,Annual average rate of change
2024,NL,DW_EXST,RCH_A_AVG,8.7,Netherlands,Purchases of existing dwellings,Annual average rate of change
2025,NL,DW_EXST,RCH_A_AVG,8.6,Netherlands,Purchases of existing dwellings,Annual average rate of change
2010,EU27,DW_NEW,I15_A_AVG,101.17,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2011,EU27,DW_NEW,I15_A_AVG,101.63,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2012,EU27,DW_NEW,I15_A_AVG,98.89,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2013,EU27,DW_NEW,I15_A_AVG,97.09,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2014,EU27,DW_NEW,I15_A_AVG,97.64,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2015,EU27,DW_NEW,I15_A_AVG,100.0,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2016,EU27,DW_NEW,I15_A_AVG,103.52,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2017,EU27,DW_NEW,I15_A_AVG,107.4,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2018,EU27,DW_NEW,I15_A_AVG,112.79,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2019,EU27,DW_NEW,I15_A_AVG,118.19,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2020,EU27,DW_NEW,I15_A_AVG,124.26,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2021,EU27,DW_NEW,I15_A_AVG,132.67,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
2022,EU27,DW_NEW,I15_A_AVG,145.16,European Union - 27 countries (from 2020),Purchases of newly built dwellings,"Annual average index, 2015=100"
