year,geo,purchase,unit,value,geo_label,purchase_label,unit_label
2012,EU27,TOTAL,I15_A_AVG,98.76,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2013,EU27,TOTAL,I15_A_AVG,97.06,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2014,EU27,TOTAL,I15_A_AVG,97.75,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2015,EU27,TOTAL,I15_A_AVG,100.0,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2016,EU27,TOTAL,I15_A_AVG,104.31,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2017,EU27,TOTAL,I15_A_AVG,109.31,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2018,EU27,TOTAL,I15_A_AVG,114.81,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2019,EU27,TOTAL,I15_A_AVG,120.4,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2020,EU27,TOTAL,I15_A_AVG,127.14,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2021,EU27,TOTAL,I15_A_AVG,137.87,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2022,EU27,TOTAL,I15_A_AVG,148.86,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2023,EU27,TOTAL,I15_A_AVG,148.45,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2024,EU27,TOTAL,I15_A_AVG,153.45,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2025,EU27,TOTAL,I15_A_AVG,161.93,European Union - 27 countries (from 2020),Total,"Annual average index, 2015=100"
2005,NL,TOTAL,I15_A_AVG,106.3,Netherlands,Total,"Annual average index, 2015=100"
2006,NL,TOTAL,I15_A_AVG,110.82,Netherlands,Total,"Annual average index, 2015=100"
2007,NL,TOTAL,I15_A_AVG,116.19,Netherlands,Total,"Annual average index, 2015=100"
2008,NL,TOTAL,I15_A_AVG,118.74,Netherlands,Total,"Annual average index, 2015=100"
2009,NL,TOTAL,I15_A_AVG,113.46,Netherlands,Total,"Annual average index, 2015=100"
2010,NL,TOTAL,I15_A_AVG,111.48,Netherlands,Total,"Annual average index, 2015=100"
2011,NL,TOTAL,I15_A_AVG,109.28,Netherlands,Total,"Annual average index, 2015=100"
2012,NL,TOTAL,I15_A_AVG,101.96,Netherlands,Total,"Annual average index, 2015=100"
2013,NL,TOTAL,I15_A_AVG,95.81,Netherlands,Total,"Annual average index, 2015=100"
2014,NL,TOTAL,I15_A_AVG,96.61,Netherlands,Total,"Annual average index, 2015=100"
2015,NL,TOTAL,I15_A_AVG,100.0,Netherlands,Total,"Annual average index, 2015=100"
2016,NL,TOTAL,I15_A_AVG,105.29,Netherlands,Total,"Annual average index, 2015=100"
2017,NL,TOTAL,I15_A_AVG,113.81,Netherlands,Total,"Annual average index, 2015=100"
2018,NL,TOTAL,I15_A_AVG,124.4,Netherlands,Total,"Annual average index, 2015=100"
2019,NL,TOTAL,I15_A_AVG,133.38,Netherlands,Total,"Annual average index, 2015=100"
2020,NL,TOTAL,I15_A_AVG,144.07,Netherlands,Total,"Annual average index, 2015=100"
2021,NL,TOTAL,I15_A_AVG,164.94,Netherlands,Total,"Annual average index, 2015=100"
2022,NL,TOTAL,I15_A_AVG,186.84,Netherlands,Total,"Annual average index, 2015=100"
2023,NL,TOTAL,I15_A_AVG,183.26,Netherlands,Total,"Annual average index, 2015=100"
2024,NL,TOTAL,I15_A_AVG,198.24,Netherlands,Total,"Annual average index, 2015=100"
2025,NL,TOTAL,I15_A_AVG,215.15,Netherlands,Total,"Annual average index, 2015=100"
2005,EU27,TOTAL,I25_A_AVG,53.02,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2006,EU27,TOTAL,I25_A_AVG,58.24,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2007,EU27,TOTAL,I25_A_AVG,63.18,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2008,EU27,TOTAL,I25_A_AVG,64.02,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2009,EU27,TOTAL,I25_A_AVG,61.62,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2010,EU27,TOTAL,I25_A_AVG,61.91,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2011,EU27,TOTAL,I25_A_AVG,62.3,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2012,EU27,TOTAL,I25_A_AVG,60.98,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2013,EU27,TOTAL,I25_A_AVG,59.94,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2014,EU27,TOTAL,I25_A_AVG,60.36,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2015,EU27,TOTAL,I25_A_AVG,61.76,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2016,EU27,TOTAL,I25_A_AVG,64.42,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2017,EU27,TOTAL,I25_A_AVG,67.5,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2018,EU27,TOTAL,I25_A_AVG,70.9,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2019,EU27,TOTAL,I25_A_AVG,74.36,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2020,EU27,TOTAL,I25_A_AVG,78.51,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2021,EU27,TOTAL,I25_A_AVG,85.14,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2022,EU27,TOTAL,I25_A_AVG,91.92,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2023,EU27,TOTAL,I25_A_AVG,91.67,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2024,EU27,TOTAL,I25_A_AVG,94.76,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2025,EU27,TOTAL,I25_A_AVG,100.0,European Union - 27 countries (from 2020),Total,"Annual average index, 2025=100"
2005,NL,TOTAL,I25_A_AVG,49.41,Netherlands,Total,"Annual average index, 2025=100"
2006,NL,TOTAL,I25_A_AVG,51.51,Netherlands,Total,"Annual average index, 2025=100"
2007,NL,TOTAL,I25_A_AVG,54.0,Netherlands,Total,"Annual average index, 2025=100"
2008,NL,TOTAL,I25_A_AVG,55.19,Netherlands,Total,"Annual average index, 2025=100"
2009,NL,TOTAL,I25_A_AVG,52.74,Netherlands,Total,"Annual average index, 2025=100"
2010,NL,TOTAL,I25_A_AVG,51.81,Netherlands,Total,"Annual average index, 2025=100"
2011,NL,TOTAL,I25_A_AVG,50.79,Netherlands,Total,"Annual average index, 2025=100"
2012,NL,TOTAL,I25_A_AVG,47.39,Netherlands,Total,"Annual average index, 2025=100"
2013,NL,TOTAL,I25_A_AVG,44.53,Netherlands,Total,"Annual average index, 2025=100"
2014,NL,TOTAL,I25_A_AVG,44.91,Netherlands,Total,"Annual average index, 2025=100"
2015,NL,TOTAL,I25_A_AVG,46.48,Netherlands,Total,"Annual average index, 2025=100"
2016,NL,TOTAL,I25_A_AVG,48.94,Netherlands,Total,"Annual average index, 2025=100"
2017,NL,TOTAL,I25_A_AVG,52.9,Netherlands,Total,"Annual average index, 2025=100"
2018,NL,TOTAL,I25_A_AVG,57.82,Netherlands,Total,"Annual average index, 2025=100"
2019,NL,TOTAL,I25_A_AVG,62.0,Netherlands,Total,"Annual average index, 2025=100"
2020,NL,TOTAL,I25_A_AVG,66.96,Netherlands,Total,"Annual average index, 2025=100"
2021,NL,TOTAL,I25_A_AVG,76.66,Netherlands,Total,"Annual average index, 2025=100"
2022,NL,TOTAL,I25_A_AVG,86.84,Netherlands,Total,"Annual average index, 2025=100"
2023,NL,TOTAL,I25_A_AVG,85.18,Netherlands,Total,"Annual average index, 2025=100"
2024,NL,TOTAL,I25_A_AVG,92.14,Netherlands,Total,"Annual average index, 2025=100"
2025,NL,TOTAL,I25_A_AVG,100.0,Netherlands,Total,"Annual average index, 2025=100"
2006,EU27,TOTAL,RCH_A_AVG,9.9,European Union - 27 countries (from 2020),Total,Annual average rate of change
2007,EU27,TOTAL,RCH_A_AVG,8.5,European Union - 27 countries (from 2020),Total,Annual average rate of change
2008,EU27,TOTAL,RCH_A_AVG,1.3,European Union - 27 countries (from 2020),Total,Annual average rate of change
2009,EU27,TOTAL,RCH_A_AVG,-3.7,European Union - 27 countries (from 2020),Total,Annual average rate of change
2010,EU27,TOTAL,RCH_A_AVG,0.5,European Union - 27 countries (from 2020),Total,Annual average rate of change
2011,EU27,TOTAL,RCH_A_AVG,0.6,European Union - 27 countries (from 2020),Total,Annual average rate of change
2012,EU27,TOTAL,RCH_A_AVG,-2.1,European Union - 27 countries (from 2020),Total,Annual average rate of change
2013,EU27,TOTAL,RCH_A_AVG,-1.7,European Union - 27 countries (from 2020),Total,Annual average rate of change
2014,EU27,TOTAL,RCH_A_AVG,0.7,European Union - 27 countries (from 2020),Total,Annual average rate of change
2015,EU27,TOTAL,RCH_A_AVG,2.3,European Union - 27 countries (from 2020),Total,Annual average rate of change
2016,EU27,TOTAL,RCH_A_AVG,4.3,European Union - 27 countries (from 2020),Total,Annual average rate of change
2017,EU27,TOTAL,RCH_A_AVG,4.8,European Union - 27 countries (from 2020),Total,Annual average rate of change
2018,EU27,TOTAL,RCH_A_AVG,5.0,European Union - 27 countries (from 2020),Total,Annual average rate of change
2019,EU27,TOTAL,RCH_A_AVG,4.9,European Union - 27 countries (from 2020),Total,Annual average rate of change
2020,EU27,TOTAL,RCH_A_AVG,5.6,European Union - 27 countries (from 2020),Total,Annual average rate of change
2021,EU27,TOTAL,RCH_A_AVG,8.4,European Union - 27 countries (from 2020),Total,Annual average rate of change
2022,EU27,TOTAL,RCH_A_AVG,8.0,European Union - 27 countries (from 2020),Total,Annual average rate of change
2023,EU27,TOTAL,RCH_A_AVG,-0.3,European Union - 27 countries (from 2020),Total,Annual average rate of change
2024,EU27,TOTAL,RCH_A_AVG,3.4,European Union - 27 countries (from 2020),Total,Annual average rate of change
2025,EU27,TOTAL,RCH_A_AVG,5.5,European Union - 27 countries (from 2020),Total,Annual average rate of change
2006,NL,TOTAL,RCH_A_AVG,4.3,Netherlands,Total,Annual average rate of change
2007,NL,TOTAL,RCH_A_AVG,4.8,Netherlands,Total,Annual average rate of change
2008,NL,TOTAL,RCH_A_AVG,2.2,Netherlands,Total,Annual average rate of change
2009,NL,TOTAL,RCH_A_AVG,-4.4,Netherlands,Total,Annual average rate of change
2010,NL,TOTAL,RCH_A_AVG,-1.7,Netherlands,Total,Annual average rate of change
2011,NL,TOTAL,RCH_A_AVG,-2.0,Netherlands,Total,Annual average rate of change
2012,NL,TOTAL,RCH_A_AVG,-6.7,Netherlands,Total,Annual average rate of change
2013,NL,TOTAL,RCH_A_AVG,-6.0,Netherlands,Total,Annual average rate of change
2014,NL,TOTAL,RCH_A_AVG,0.8,Netherlands,Total,Annual average rate of change
2015,NL,TOTAL,RCH_A_AVG,3.5,Netherlands,Total,Annual average rate of change
2016,NL,TOTAL,RCH_A_AVG,5.3,Netherlands,Total,Annual average rate of change
2017,NL,TOTAL,RCH_A_AVG,8.1,Netherlands,Total,Annual average rate of change
2018,NL,TOTAL,RCH_A_AVG,9.3,Netherlands,Total,Annual average rate of change
2019,NL,TOTAL,RCH_A_AVG,7.2,Netherlands,Total,Annual average rate of change
2020,NL,TOTAL,RCH_A_AVG,8.0,Netherlands,Total,Annual average rate of change
2021,NL,TOTAL,RCH_A_AVG,14.5,Netherlands,Total,Annual average rate of change
2022,NL,TOTAL,RCH_A_AVG,13.3,Netherlands,Total,Annual average rate of change
2023,NL,TOTAL,RCH_A_AVG,-1.9,Netherlands,Total,Annual average rate of change
2024,NL,TOTAL,RCH_A_AVG,8.2,Netherlands,Total,Annual average rate of change
2025,NL,TOTAL,RCH_A_AVG,8.5,Netherlands,Total,Annual average rate of change
