county,states_count,states,county_rows,median_2br,min_2br,min_state,max_2br,max_state
Macon County,6,AL GA IL MO NC TN,6,1009,981,AL,1091,IL
Martin County,6,FL IN KY MN NC TX,6,1014,909,KY,2069,FL
Mason County,6,IL KY MI TX WA WV,6,1040,930,IL,1572,WA
Newton County,6,AR GA IN MO MS TX,6,1084,905,MS,1762,GA
Richland County,6,IL MT ND OH SC WI,6,1025,935,IL,1315,MT
Sullivan County,6,IN MO NH NY PA TN,6,1079,962,MO,1596,NH
Anderson County,5,KS KY SC TN TX,5,1121,961,KS,1475,TN
Campbell County,5,KY SD TN VA WY,5,1039,995,TN,1442,KY
Carter County,5,KY MO MT OK TN,5,1040,909,KY,1247,MT
Clarke County,5,AL GA IA MS VA,5,946,905,MS,2438,VA
Dallas County,5,AL AR IA MO TX,5,962,909,AR,1807,TX
Decatur County,5,GA IA IN KS TN,5,995,927,IA,1112,IN
Essex County,5,MA NJ NY VA VT,5,1171,1155,VA,3008,MA
Henderson County,5,IL KY NC TN TX,5,995,909,KY,1866,NC
Houston County,5,AL GA MN TN TX,5,1046,966,AL,1396,GA
Kent County,5,DE MD MI RI TX,5,1629,1078,TX,1879,RI
Lafayette County,5,AR FL MO MS WI,5,1191,909,AR,1546,MO
Livingston County,5,IL KY MI MO NY,5,1220,962,MO,1477,MI
Lyon County,5,IA KS KY MN NV,5,961,909,KY,1279,NV
Mitchell County,5,GA IA KS NC TX,5,1002,927,IA,1118,TX
Pierce County,5,GA ND NE WA WI,5,1058,1014,ND,2064,WA
Saline County,5,AR IL KS MO NE,5,1050,930,IL,1121,AR
Sheridan County,5,KS MT ND NE WY,5,1078,961,KS,1214,MT
White County,5,AR GA IL IN TN,5,1021,930,IL,1194,GA
York County,5,ME NE PA SC VA,5,1667,1047,NE,1792,ME
Adair County,4,IA KY MO OK,4,935,909,KY,962,MO
Allen County,4,IN KS KY OH,4,1099,961,KS,1248,IN
Blaine County,4,ID MT NE OK,4,1104,1014,NE,1673,ID
Caldwell County,4,KY MO NC TX,4,1347,909,KY,1817,TX
Camden County,4,GA MO NC NJ,4,1332,1033,MO,1860,NJ
Carbon County,4,MT PA UT WY,4,1227,1014,UT,1839,PA
Dawson County,4,GA MT NE TX,4,1235,1074,NE,1762,GA
Dodge County,4,GA MN NE WI,4,1154,1002,GA,1422,MN
Fremont County,4,CO IA ID WY,4,1007,927,IA,1436,CO
Grundy County,4,IA IL MO TN,4,1046,962,MO,1613,IL
Iron County,4,MI MO UT WI,4,1073,962,MO,1144,UT
Lamar County,4,AL GA MS TX,4,1019,921,AL,1316,MS
Lancaster County,4,NE PA SC VA,4,1161,1069,SC,1553,PA
Liberty County,4,FL GA MT TX,4,1216,975,FL,1497,TX
Linn County,4,IA KS MO OR,4,1300,962,MO,1726,OR
Mineral County,4,CO MT NV WV,4,1322,944,WV,1485,CO
Ottawa County,4,KS MI OH OK,4,1098,916,OK,1546,MI
Phillips County,4,AR CO KS MT,4,988,909,AR,1137,CO
Richmond County,4,GA NC NY VA,4,1258,1012,NC,2971,NY
Russell County,4,AL KS KY VA,4,952,909,KY,1212,AL
San Juan County,4,CO NM UT WA,4,1230,1042,UT,2022,WA
Sherman County,4,KS NE OR TX,4,1043,1014,NE,1214,OR
Smith County,4,KS MS TN TX,4,1054,905,MS,1277,TX
Somerset County,4,MD ME NJ PA,4,1193,1014,PA,2623,NJ
St. Clair County,4,AL IL MI MO,4,1362,962,MO,1459,MI
Sumter County,4,AL FL GA SC,4,1232,921,AL,1338,SC
Van Buren County,4,AR IA MI TN,4,973,909,AR,1040,MI
Wheeler County,4,GA NE OR TX,4,1014,1002,GA,1048,TX
Wilson County,4,KS NC TN TX,4,1255,961,KS,1798,TN
Wood County,4,OH TX WI WV,4,1017,974,WV,1145,OH
Baker County,3,FL GA OR,3,1014,1002,GA,1110,FL
Beaver County,3,OK PA UT,3,1149,916,OK,1389,PA
Bedford County,3,PA TN VA,3,1112,1014,PA,1117,VA
Buchanan County,3,IA MO VA,3,943,937,IA,1101,MO
Buffalo County,3,NE SD WI,3,1097,1019,WI,1409,SD
Burke County,3,GA NC ND,3,1147,1014,ND,1329,GA
Butte County,3,CA ID SD,3,1278,1174,ID,1509,CA
Cedar County,3,IA MO NE,3,969,962,MO,1014,NE
Chester County,3,PA SC TN,3,1375,1103,SC,1860,PA
Cheyenne County,3,CO KS NE,3,1134,961,KS,1167,CO
Chippewa County,3,MI MN WI,3,1042,1014,MN,1259,WI
Choctaw County,3,AL MS OK,3,916,905,MS,921,AL
Christian County,3,IL KY MO,3,1113,939,IL,1307,KY
Cleveland County,3,AR NC OK,3,1014,909,AR,1264,OK
Coffee County,3,AL GA TN,3,1088,1002,GA,1098,AL
Comanche County,3,KS OK TX,3,974,961,KS,1017,TX
Cook County,3,GA IL MN,3,1022,1002,GA,2011,IL
Daviess County,3,IN KY MO,3,1090,962,MO,1138,KY
Delta County,3,CO MI TX,3,1014,1014,MI,1266,CO
Dickinson County,3,IA KS MI,3,1021,1014,MI,1091,IA
Edwards County,3,IL KS TX,3,961,930,IL,1078,TX
Ellis County,3,KS OK TX,3,1036,916,OK,1807,TX
Erie County,3,NY OH PA,3,1221,1091,PA,1423,NY
Gallatin County,3,IL KY MT,3,1442,930,IL,2109,MT
Graham County,3,AZ KS NC,3,1012,961,KS,1159,AZ
Grayson County,3,KY TX VA,3,943,909,KY,1395,TX
Hall County,3,GA NE TX,3,1210,1014,TX,1543,GA
Haskell County,3,KS OK TX,3,961,916,OK,1014,TX
Holmes County,3,FL MS OH,3,971,905,MS,1003,OH
Humboldt County,3,CA IA NV,3,1247,927,IA,1554,CA
Kiowa County,3,CO KS OK,3,961,916,OK,1319,CO
Lauderdale County,3,AL MS TN,3,1006,995,TN,1085,AL
Lowndes County,3,AL GA MS,3,1150,931,MS,1179,GA
McIntosh County,3,GA ND OK,3,1014,916,OK,1378,GA
McLean County,3,IL KY ND,3,1138,1014,ND,1287,IL
McPherson County,3,KS NE SD,3,1014,1014,NE,1029,KS
Meade County,3,KS KY SD,3,1052,961,KS,1357,SD
Miami County,3,IN KS OH,3,1248,1014,IN,1546,KS
Middlesex County,3,MA NJ VA,3,2623,1259,VA,3008,MA
Miller County,3,AR GA MO,3,1002,973,MO,1118,AR
Moore County,3,NC TN TX,3,1070,995,TN,1223,NC
Morris County,3,KS NJ TX,3,1014,961,KS,2233,NJ
Murray County,3,GA MN OK,3,1006,979,OK,1014,MN
Nelson County,3,KY ND VA,3,1022,1014,ND,1642,VA
Noble County,3,IN OH OK,3,1003,916,OK,1023,IN
Northampton County,3,NC PA VA,3,1012,992,VA,1839,PA
Ohio County,3,IN KY WV,3,1009,909,KY,1442,IN
Oneida County,3,ID NY WI,3,1111,1027,WI,1210,NY
Osage County,3,KS MO OK,3,1172,962,MO,1229,OK
Osceola County,3,FL IA MI,3,1048,927,IA,1959,FL
Park County,3,CO MT WY,3,1608,1016,WY,2169,CO
Pawnee County,3,KS NE OK,3,994,972,OK,1014,NE
Pickens County,3,AL GA SC,3,1507,921,AL,1762,GA
Platte County,3,MO NE WY,3,1139,999,WY,1546,MO
Pope County,3,AR IL MN,3,1088,948,AR,1095,IL
Potter County,3,PA SD TX,3,1107,1014,PA,1305,SD
Robertson County,3,KY TN TX,3,1151,909,KY,1798,TN
Rock County,3,MN NE WI,3,1014,1014,MN,1280,WI
Rockingham County,3,NC NH VA,3,1264,1012,NC,2347,NH
Schuyler County,3,IL MO NY,3,979,930,IL,1180,NY
Seminole County,3,FL GA OK,3,1002,916,OK,1959,FL
Sevier County,3,AR TN UT,3,1049,909,AR,1213,TN
Sioux County,3,IA ND NE,3,1014,1000,IA,1014,ND
Stark County,3,IL ND OH,3,1212,1049,OH,1231,ND
Stephens County,3,GA OK TX,3,1002,916,OK,1014,TX
Stevens County,3,KS MN WA,3,1027,998,KS,1121,WA
Stone County,3,AR MO MS,3,1032,916,AR,1047,MS
Summit County,3,CO OH UT,3,2153,1231,OH,2766,CO
Sussex County,3,DE NJ VA,3,1651,1498,DE,2233,NJ
Teton County,3,ID MT WY,3,1363,1343,ID,1683,WY
Thomas County,3,GA KS NE,3,1014,961,KS,1233,GA
Todd County,3,KY MN SD,3,1025,1014,SD,1054,KY
Valley County,3,ID MT NE,3,1202,1014,NE,1249,ID
Walker County,3,AL GA TX,3,1227,949,AL,1340,GA
Williamson County,3,IL TN TX,3,1798,996,IL,1817,TX
Winnebago County,3,IA IL WI,3,1172,927,IA,1195,WI
Worth County,3,GA IA MO,3,1003,927,IA,1103,GA
Wright County,3,IA MN MO,3,962,944,IA,1734,MN
Wyoming County,3,NY PA WV,3,1014,944,WV,1363,PA
Albany County,2,NY WY,2,1355,999,WY,1711,NY
Alexander County,2,IL NC,2,1080,1012,IL,1147,NC
Allegany County,2,MD NY,2,1014,1014,MD,1014,MD
Alleghany County,2,NC VA,2,996,943,VA,1048,NC
Armstrong County,2,PA TX,2,1075,1043,PA,1107,TX
Ashland County,2,OH WI,2,1009,1003,OH,1014,WI
Atchison County,2,KS MO,2,962,961,KS,962,MO
Baldwin County,2,AL GA,2,1269,1104,GA,1434,AL
Barbour County,2,AL WV,2,933,921,AL,944,WV
Barry County,2,MI MO,2,1162,962,MO,1362,MI
Barton County,2,KS MO,2,962,961,KS,962,MO
Bath County,2,KY VA,2,960,909,KY,1010,VA
Bay County,2,FL MI,2,1353,1055,MI,1651,FL
Beaufort County,2,NC SC,2,1511,1012,NC,2010,SC
Bell County,2,KY TX,2,1024,909,KY,1138,TX
Berkeley County,2,SC WV,2,1550,1215,WV,1884,SC
Berrien County,2,GA MI,2,1077,1002,GA,1152,MI
Bibb County,2,AL GA,2,1342,1309,GA,1375,AL
Big Horn County,2,MT WY,2,1153,999,WY,1306,MT
Blount County,2,AL TN,2,1425,1375,AL,1475,TN
Bourbon County,2,KS KY,2,1205,994,KS,1416,KY
Boyd County,2,KY NE,2,1010,1006,KY,1014,NE
Bradford County,2,FL PA,2,1054,1008,FL,1100,PA
Bradley County,2,AR TN,2,1090,909,AR,1270,TN
Bristol County,2,MA RI,2,1879,1879,MA,1879,MA
Brooks County,2,GA TX,2,1097,1014,TX,1179,GA
Brunswick County,2,NC VA,2,1259,943,VA,1574,NC
Bryan County,2,GA OK,2,1342,1004,OK,1679,GA
Cameron County,2,PA TX,2,1028,1014,PA,1042,TX
Caroline County,2,MD VA,2,1282,1244,VA,1320,MD
Chambers County,2,AL TX,2,1294,1091,AL,1497,TX
Champaign County,2,IL OH,2,1110,1047,OH,1173,IL
Charlotte County,2,FL VA,2,1259,943,VA,1575,FL
Chase County,2,KS NE,2,988,961,KS,1014,NE
Chatham County,2,GA NC,2,1712,1679,GA,1745,NC
Chautauqua County,2,KS NY,2,988,961,KS,1014,NY
Chesterfield County,2,SC VA,2,1268,885,SC,1651,VA
Chickasaw County,2,IA MS,2,916,905,MS,927,IA
Claiborne County,2,MS TN,2,950,905,MS,995,TN
Clayton County,2,GA IA,2,1345,927,IA,1762,GA
Clearwater County,2,ID MN,2,1061,1014,MN,1108,ID
Cleburne County,2,AL AR,2,1001,997,AR,1004,AL
Colfax County,2,NE NM,2,1131,1014,NM,1247,NE
