month,geo,unit,value,geo_label,unit_label
2022-06,EU27,I15,108.14,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-07,EU27,I15,108.53,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-08,EU27,I15,108.72,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-09,EU27,I15,108.95,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-10,EU27,I15,109.16,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-11,EU27,I15,109.4,European Union - 27 countries (from 2020),"Index, 2015=100"
2022-12,EU27,I15,109.6,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-01,EU27,I15,109.88,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-02,EU27,I15,110.49,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-03,EU27,I15,110.75,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-04,EU27,I15,110.93,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-05,EU27,I15,111.23,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-06,EU27,I15,111.43,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-07,EU27,I15,111.81,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-08,EU27,I15,112.11,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-09,EU27,I15,112.28,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-10,EU27,I15,112.53,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-11,EU27,I15,112.66,European Union - 27 countries (from 2020),"Index, 2015=100"
2023-12,EU27,I15,112.91,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-01,EU27,I15,113.3,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-02,EU27,I15,113.86,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-03,EU27,I15,114.13,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-04,EU27,I15,114.37,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-05,EU27,I15,114.6,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-06,EU27,I15,114.82,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-07,EU27,I15,115.48,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-08,EU27,I15,115.7,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-09,EU27,I15,115.9,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-10,EU27,I15,116.17,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-11,EU27,I15,116.39,European Union - 27 countries (from 2020),"Index, 2015=100"
2024-12,EU27,I15,116.58,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-01,EU27,I15,116.97,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-02,EU27,I15,117.54,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-03,EU27,I15,117.76,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-04,EU27,I15,118.07,European Union - 27 countries (from 2020),"Index, 2015=100"
2025-05,EU27,I15,118.29,European Union - 27 countries (from 2020),"Index, 2015=100"
